timestamp,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,Delta_Aggregate,Theta_Aggregate,Alpha_Aggregate,Beta_Aggregate,Gamma_Aggregate
1694268925.148,805.05493,791.75824,820.7692,797.3993,0.680515265,0.1877316925,0.2544771,0.16824832625,-0.21530675999999999
1694268925.149,810.696,788.5348,822.381,796.1905,0.680515265,0.1877316925,0.2544771,0.16824832625,-0.21530675999999999
1694268925.149,826.4103,793.36993,823.5897,804.2491,0.680515265,0.1877316925,0.2544771,0.16824832625,-0.21530675999999999
1694268925.15,835.6777,795.78754,824.3956,800.6227,0.680515265,0.1877316925,0.2544771,0.16824832625,-0.21530675999999999
1694268925.15,840.5128,791.75824,824.7985,783.2967,0.680515265,0.1877316925,0.2544771,0.16824832625,-0.21530675999999999
1694268925.15,841.31866,789.7436,819.9634,789.34064,0.680515265,0.1877316925,0.2544771,0.16824832625,-0.21530675999999999
1694268925.177,834.4689,792.96704,815.9341,793.36993,0.680515265,0.1877316925,0.2544771,0.16824832625,-0.21530675999999999
1694268925.177,835.6777,795.78754,818.3516,792.5641,0.680515265,0.1877316925,0.2544771,0.16824832625,-0.21530675999999999
1694268925.178,835.6777,795.78754,817.9487,800.2198,0.680515265,0.1877316925,0.2544771,0.16824832625,-0.21530675999999999
1694268925.178,832.4542,794.17584,816.7399,807.0696,0.680515265,0.1877316925,0.2544771,0.16824832625,-0.21530675999999999
1694268925.178,846.1539,792.96704,819.5604,802.23444,0.680515265,0.1877316925,0.2544771,0.16824832625,-0.21530675999999999
1694268925.1790001,860.2564,795.38464,821.1722,802.23444,0.667190975,0.1925436925,0.262473125,0.16330361775000002,-0.2260557425
1694268925.181,867.9121,799.011,827.2161,806.26373,0.667190975,0.1925436925,0.262473125,0.16330361775000002,-0.2260557425
1694268925.1820002,866.30035,796.99634,829.6337,808.2784,0.667190975,0.1925436925,0.262473125,0.16330361775000002,-0.2260557425
1694268925.1820002,857.4359,794.9817,823.1868,812.3077,0.667190975,0.1925436925,0.262473125,0.16330361775000002,-0.2260557425
1694268925.183,861.06226,800.2198,825.2015,808.68134,0.667190975,0.1925436925,0.262473125,0.16330361775000002,-0.2260557425
1694268925.183,869.92676,799.011,832.4542,808.2784,0.667190975,0.1925436925,0.262473125,0.16330361775000002,-0.2260557425
1694268925.184,855.0183,791.3553,830.4396,809.4872,0.667190975,0.1925436925,0.262473125,0.16330361775000002,-0.2260557425
1694268925.2419999,830.4396,794.17584,828.022,809.4872,0.667190975,0.1925436925,0.262473125,0.16330361775000002,-0.2260557425
1694268925.243,823.1868,797.8022,827.2161,807.0696,0.667190975,0.1925436925,0.262473125,0.16330361775000002,-0.2260557425
1694268925.243,813.91943,792.96704,823.5897,810.696,0.667190975,0.1925436925,0.262473125,0.16330361775000002,-0.2260557425
1694268925.243,794.9817,789.34064,823.1868,815.12823,0.667190975,0.1925436925,0.262473125,0.16330361775000002,-0.2260557425
